"MEMBER
NAME
(LAST,
FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
"Bacon, Don",NE,SAOC Planning and Design,"158,200","Offutt AFB,
NE","HQ 55th Wing,
Offutt AFB","55 VIDEMUS OMNIA
VIEW, Offutt AFB,
NE 68113","This project will begin preparatory actions necessary for beddown of the Survivable Airborne Operations
Center (SAOC) aircraft fleet, the planned replacement for the E-4B National Airborne Operations Center
(NAOC) fleet currently based at Offutt AFB, NE and co-located with the Joint NMCC airborne battlestaff
hosted at HQUSSTRATCOM","The replacement of the aging E-4B NAOC aircraft based at Offutt AFB, NE is an urgent national priority.
Beddown of the E-4B NAOC replacement, the Survivable Airborne Operations Center (SAOC), is the most
significant NC3 aircraft program currently in development and represents the firsts major military mission
enhancement for the state of Nebraska in many decades.  Prompt replacement of the aging E-4B aircraft fleet
will benefit the readiness and resilience of our national NC3 enterprise.  Significant construction work at Offutt
is expected and planning and design must begin in FY25 in order to align with expected SAOC aircraft
deliveries."
"Blunt
Rochester,
Lisa",DE,"Planning and Design Funding for the Dover Air Force
Base Reserve Facility 512th Airlift Wing Operations
Group","4,200","Dover, DE","Dover Air Force
Base","202 Liberty Way
Dover AFB, DE 19902","Construct a 3,069 square meter (SM) facility for the 512th Airlift Wing (AW) Operations Group (OG)
including all required supporting utilities, pavements, site improvements, and communications. Facility 270, th
existing 512 OG facility, will be demolished upon construction completion of the new facility. Demolition will
include the removal and disposal of all related hazardous materials. Structure will comply with base
architectural compatibility standards. The facility will comply with applicable DoD, Air Force, and installation
design standards. Additionally, local materials and construction techniques will be used where cost effective.
The project will comply with DoD antiterrorism/force protection requirements per Unified Facilities Criteria.","The project would enhance the readiness of an important reserve airlift wing on the East Coast centrally located in the Mid-Atlantic.
Units from Dover Air Force Base have participated in important missions to EUCOM, AFRICOM, and CENTCOM. This project has
local support - currently the Central Delaware Chamber of Commerce supports the project.
Building 270 at Dover AFB is occupied by the 512 OG Staff, 512 OSS, 709 AS, and 326 AS with a combined manning of over 350
personnel and does not have enough square footage to adequately support all assigned airmen. The building has been modified to crea
additional needed office and meeting space by repurposing hallways, storage closets, and locker rooms. This has resulted in deficienc
of storage space that were remedied by comingling mobility equipment and supplies with occupied workstations, as well as using spa
within briefing rooms and restrooms. The greatest impact to the mission is the limited amount of space available for computer
workstations, with less than 60% of the total authorization available. Squadrons have added as many as three workstations to single
workstation desks in an effort to compensate for the space deficiency. Despite these efforts, the number of available workstations
remains inadequate, and the basic duties and training of airmen is negatively impacted by limited computer access during Unit Traini
Assembly (UTA) weekends. By doubling and tripling the intended capacity of workstation desks, the quality of life for airmen degrad
In total, B270 is deficient 3,451 net square feet (NSF) of facility space. If not provided, the 326 AS and 709 AS will have to continue
find ways to compensate for space deficiencies without this project. Prolonged reliance on compensatory measures to accomplish the
mission-related tasks has the potential to negatively affect the mission and morale. The Facility itself has condition issues such as
numerous roof leaks where water infiltration has caused interior damage to the building and equipment that are detrimental to health
safety."
"Case, Ed",HI,Red Hill Water Treatment Facility,"160,000","Honolulu, HI","U.S. Department of
the Navy","1000 Navy Pentagon,
Room 4D652
Washington, DC 20350","This project would construct a drinking water treatment facility for removing potential contaminants and
ensuring that the water meets all federal and state drinking water standards. The project includes vertical
turbine well pumps, packed tower aerator system with blowers and transfer pumps, granular activated carbon
systems, and chemical treatment systems.","Attached is a letter of support for the Mayor of the City and County of Honolulu and DD1391.
If this project is not funded, it will lead to an extended shutdown of the Red Hill water pumping facility,
potentially allowing contaminants to migrate further into the groundwater aquifer and exposing the general
public’s drinking water system to contamination. The permanent loss of the Red Hill water supply would also
significantly reduce the water resources available to meet the demands at Joint Base Pearl Harbor-Hickam and
strain operations at the military’s other water supply sources. In addition, the inability to mitigate a known
potential contamination event when a proven and effective treatment exists is eroding servicemembers and the
public’s confidence that the Navy drinking water system is safe.
Note - the full cost of the project is $505 million, but this request is for the incrementally executable amount of
$160 million."
"Crow, Jason",CO,"Power Independence Project, Buckley SFB","65,000","Aurora, CO","Space Base Delta 2,
Buckley SFB CO","510 South Aspen St,
Buckley SFB CO
80011-9572","The Power Independence Project at Buckley SFB CO is the US Space Force #1 FY25 Unfunded Priority.
Failure to accelerate this project to FY25, will have critical operational impacts on the ability to field new
Missile Warning capabilities due to current power capacity limits.","Funding this project in FY25 is a national security imperative.  Currently this project is funded as a FY27
MILCON project which is late to need.  Based on current power capacity challenges, Buckley SFB will reach
current power capacity early in FY27, delaying the fielding of two new missile warning/missile tracking
capabilities.  Since this project will take 18 months to 2 years to complete, funding in FY25 is crucial and why
this has been ranked as the USSF # 1 priority.  Failure to support this request drives critical operational
shortfalls and dramatically increases national security risk for a minimum of two years."
"Davis, Donald",NC,"COMBAT ARMS TRAINING & MAINTENANCE
COMPLEX","41,000","Goldsboro,
NC","Seymour Johnson
Air Force Base","1095 Peterson Ave
Goldsboro, NC  27531","To construct a single Combat Arms Facility to include a 35-lane range, classrooms, administration, weapons
cleaning, weapons maintenance, weapons and ammunition vault, and range supplies storage. The facility will
also include a Security Forces Logistics and Readiness Warehouse/Armory Weapon Storage area. Facility
construction consists of a reinforced concrete foundation, a waterproof concrete floor slab with floor drains, a
structural steel frame, masonry walls, and a flat roof. The firing range will have steel deflector plates, bullet
traps, overhead baffles, utilities, heating, ventilation and air conditioning, an exhaust system,
and sound reflection reduction. This facility will include sustainable special construction features for savings in
utilities and maintenance.","Commanding Colonel Lucas Teel has outlined the request as the top priority for SJAFB. The base is located in
one of the most economically distressed counties in the state, designated as a Tier 1 county by the North
Carolina Department of Commerce. With the potential loss of 520 jobs from a fighter squadron divestment,
the local community desperately needs an economic lifeline. Further, servicemembers and their families at the
base have asked for additional resources to ensure their safety and quality of life. In lieu of funding for the
Child Development Center or KC-46 Alert Facility, they desperately need some support in the form of CATM
funding. Community support letters further outline the rationale for the request."
"DesJarlais,
Scott",TN,Nitrogen Conversion Facility,"5,100","Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN
37389","This project provides a new nitrogen conversion facility outside theJ4 explosives zone. This new facility will
include all equipment to store and convert liquid nitrogen to 5000 psig gaseous nitrogen and will be tied into th
Gaseous Nitrogen system.","Construct a new nitrogen conversion facility outside the J4 explosives zone. This new facility will include
reinforced
concrete foundation, pre-fabricated metal facility, restrooms, A/C units. Additional requirements include all
equipment to store and convert liquid nitrogen
to 5000 psig gaseous nitrogen and will be tied into the utility GN2 system. Dewars, cryo pumps, heat
exchangers, piping, valves, steam regulators, instrumentation. In addition, all utilities/site prep necessary to
support
facility. Old facility does not adequately provide needs and is in a hazardous zone."
"DesJarlais,
