fyear,agency,state_cd,state_nm,cty_cd,cty_name,contracts,grants,direct_payments,spending_total
2020,Department of Defense,1,ALABAMA,1001,AUTAUGA,341659,0,0,341659
2020,Department of Defense,1,ALABAMA,1003,BALDWIN,8075248,0,0,8075248
2020,Department of Defense,1,ALABAMA,1005,BARBOUR,38557,0,0,38557
2020,Department of Defense,1,ALABAMA,1007,BIBB,87460,0,0,87460
2020,Department of Defense,1,ALABAMA,1009,BLOUNT,346063,0,0,346063
2020,Department of Defense,1,ALABAMA,1011,BULLOCK,2570306,0,0,2570306
2020,Department of Defense,1,ALABAMA,1015,CALHOUN,201778699,0,0,201778704
2020,Department of Defense,1,ALABAMA,1017,CHAMBERS,200423,0,0,200423
2020,Department of Defense,1,ALABAMA,1019,CHEROKEE,18200597,0,0,18200598
2020,Department of Defense,1,ALABAMA,1021,CHILTON,2916549,0,0,2916549
2020,Department of Defense,1,ALABAMA,1025,CLARKE,16000,0,0,16000
2020,Department of Defense,1,ALABAMA,1029,CLEBURNE,1840,0,0,1840
2020,Department of Defense,1,ALABAMA,1031,COFFEE,26441150,1500000,0,27941150
2020,Department of Defense,1,ALABAMA,1033,COLBERT,2311351,0,0,2311352
2020,Department of Defense,1,ALABAMA,1035,CONECUH,63625,0,0,63625
2020,Department of Defense,1,ALABAMA,1037,COOSA,400650,0,0,400650
2020,Department of Defense,1,ALABAMA,1039,COVINGTON,5406108,0,0,5406108
2020,Department of Defense,1,ALABAMA,1041,CRENSHAW,5867413,0,0,5867413
2020,Department of Defense,1,ALABAMA,1043,CULLMAN,100495,0,0,100495
2020,Department of Defense,1,ALABAMA,1045,DALE,820196814,0,0,820196800
2020,Department of Defense,1,ALABAMA,1047,DALLAS,26125168,0,0,26125168
2020,Department of Defense,1,ALABAMA,1049,DE KALB,1759518,0,0,1759518
2020,Department of Defense,1,ALABAMA,1051,ELMORE,217988,0,0,217988
2020,Department of Defense,1,ALABAMA,1053,ESCAMBIA,16066645,0,0,16066645
2020,Department of Defense,1,ALABAMA,1055,ETOWAH,898375,0,0,898375
2020,Department of Defense,1,ALABAMA,1059,FRANKLIN,6587298,0,0,6587298
