fyear,state_nm,total_spent,state,population,spending_per_capita
2020,ALABAMA,9307129587,Alabama,4893186,1902.0592282819414
2020,ALASKA,1526672019,Alaska,736990,2071.4962468961585
2020,AMERICAN SAMOA,2228285,American Samoa,NA,NA
2020,ARIZONA,17371223472,Arizona,7174064,2421.392319890093
2020,ARKANSAS,672847551,Arkansas,3011873,223.3983806754136
2020,CALIFORNIA,35636358951,California,39346023,905.7169247067233
2020,COLORADO,7261315138,Colorado,5684926,1277.2928157728
2020,CONNECTICUT,22585884509,Connecticut,3570549,6325.605532650581
2020,DELAWARE,241256861,Delaware,967679,249.31497015022543
2020,DISTRICT OF COLUMBIA,4963392250,District Of Columbia,NA,NA
2020,FLORIDA,17826838292,Florida,21216924,840.2178511833289
2020,GEORGIA,8322377957,Georgia,10516579,791.3579080231318
2020,GUAM,1260060161,Guam,NA,NA
2020,HAWAII,2493173224,Hawaii,1420074,1755.6642991844087
2020,IDAHO,292774144,Idaho,1754367,166.8830660859444
2020,ILLINOIS,6584769622,Illinois,12716164,517.826729979261
2020,INDIANA,3769467851,Indiana,6696893,562.8681615489452
2020,IOWA,2152747051,Iowa,3150011,683.4093757132912
2020,KANSAS,1163491815,Kansas,2912619,399.46584671733586
2020,KENTUCKY,9717573755,Kentucky,4461952,2177.8750096370377
2020,LOUISIANA,2655380392,Louisiana,4664616,569.2602332110511
2020,MAINE,2721150601,Maine,1340825,2029.4599228087186
2020,MARSHALL ISLANDS,216330736,Marshall Islands,NA,NA
2020,MARYLAND,20502252578,Maryland,6037624,3395.7484894720174
2020,MASSACHUSETTS,16490966397,Massachusetts,6873003,2399.3829766988315
2020,MICHIGAN,4650942497,Michigan,9973907,466.3109949791992
2020,MICRONESIA,2925748,Micronesia,NA,NA
2020,MINNESOTA,1721399479,Minnesota,5600166,307.3836523774474
2020,MISSISSIPPI,6110887709,Mississippi,2981835,2049.371514185057
2020,MISSOURI,13011298272,Missouri,6124160,2124.5849670812
2020,MONTANA,378345306,Montana,1061705,356.3563381541954
2020,NEBRASKA,974852410,Nebraska,1923826,506.72587333781746
2020,NEVADA,1775316832,Nevada,3030281,585.858813753576
2020,NEW HAMPSHIRE,1732417775,New Hampshire,1355244,1278.306913736567
2020,NEW JERSEY,5328420904,New Jersey,8885418,599.6815123385304
2020,NEW MEXICO,1937235499,New Mexico,2097021,923.8035761206015
2020,NEW YORK,9108091443,New York,19514849,466.7262064390045
2020,NORTH CAROLINA,6154092655,North Carolina,10386227,592.5243743469115
2020,NORTH DAKOTA,336427821,North Dakota,760394,442.43881592963646
2020,NORTHERN MARIANA ISLANDS,8030091,Northern Mariana Islands,NA,NA
2020,OHIO,6675559810,Ohio,11675275,571.7689570481209
2020,OKLAHOMA,3310010934,Oklahoma,3949342,838.1170670962404
2020,OREGON,954877808,Oregon,4176346,228.6395351343016
2020,PALAU,13480470,Palau,NA,NA
2020,PENNSYLVANIA,13577018278,Pennsylvania,12794885,1061.128589901355
2020,PUERTO RICO,524806515,Puerto Rico,3255642,161.19908607887476
2020,RHODE ISLAND,722426261,Rhode Island,1057798,682.9529465928277
2020,SOUTH CAROLINA,2835710292,South Carolina,5091517,556.9480160824368
2020,SOUTH DAKOTA,314596981,South Dakota,879336,357.7665204199532
2020,TENNESSEE,2355639494,Tennessee,6772268,347.8361302299318
2020,TEXAS,72129960534,Texas,28635442,2518.905087408813
2020,UTAH,1936962865,Utah,3151239,614.6670769814666
2020,VERMONT,525360783,Vermont,624340,841.4658407278085
2020,VIRGIN ISLANDS,3114170,Virgin Islands,NA,NA
2020,VIRGIN ISLANDS OF THE U.S.,6092998,Virgin Islands Of The U.s.,NA,NA
2020,VIRGINIA,40481858989,Virginia,8509358,4757.334100762948
2020,WASHINGTON,7181386342,Washington,7512465,955.9294242302626
2020,WEST VIRGINIA,605263972,West Virginia,1807426,334.87621180618186
2020,WISCONSIN,4416132936,Wisconsin,5806975,760.4876783523263
2020,WYOMING,117896700,Wyoming,581348,202.79883993752452
2020,NA,22057324544,NA,NA,NA
2021,ALABAMA,10190100961,Alabama,4997675,2038.9683124652963
2021,ALASKA,1671561248,Alaska,735951,2271.294213881087
2021,AMERICAN SAMOA,812688,American Samoa,NA,NA
2021,ARIZONA,11613407512,Arizona,7079203,1640.4964671870548
2021,ARKANSAS,765522296,Arkansas,3006309,254.63859370410694
2021,CALIFORNIA,33316060949,California,39455353,844.399008393107
2021,COLORADO,7974372194,Colorado,5723176,1393.3473641209007
2021,CONNECTICUT,17963505450,Connecticut,3605330,4982.485778000904
2021,DELAWARE,483752089,Delaware,981892,492.67341927625444
2021,DISTRICT OF COLUMBIA,6545464834,District Of Columbia,NA,NA
2021,FLORIDA,19362271393,Florida,21339762,907.3330524023651
2021,GEORGIA,7104713449,Georgia,10625615,668.640210378411
2021,GUAM,2099568136,Guam,NA,NA
2021,HAWAII,2408919318,Hawaii,1453498,1657.3255126598042
2021,IDAHO,244342587,Idaho,1811617,134.8754107518311
2021,ILLINOIS,6519436190,Illinois,12821813,508.46445740551667
2021,INDIANA,5500422166,Indiana,6751340,814.7156217876748
2021,IOWA,1940882755,Iowa,3179090,610.5151961724896
2021,KANSAS,1426898111,Kansas,2932099,486.6473168197936
2021,KENTUCKY,10919555766,Kentucky,4494141,2429.731458358783
2021,LOUISIANA,2128422635,Louisiana,4657305,457.00735403844067
2021,MAINE,2251422360,Maine,1357046,1659.0611961569468
2021,MARSHALL ISLANDS,111394616,Marshall Islands,NA,NA
2021,MARYLAND,15848817225,Maryland,6148545,2577.653286265287
2021,MASSACHUSETTS,19682611461,Massachusetts,6991852,2815.0783885299634
2021,MICHIGAN,4488050147,Michigan,10062512,446.016874017144
2021,MICRONESIA,4631747,Micronesia,NA,NA
2021,MINNESOTA,1402286031,Minnesota,5670472,247.29617411037387
2021,MISSISSIPPI,4100187124,Mississippi,2967023,1381.919561796454
2021,MISSOURI,10149665811,Missouri,6141534,1652.6271467356528
2021,MONTANA,268914832,Montana,1077978,249.46226360834822
2021,NEBRASKA,737687282,Nebraska,1951480,378.0142671203394
2021,NEVADA,1674676548,Nevada,3059238,547.4162350232313
2021,NEW HAMPSHIRE,1406062597,New Hampshire,1372175,1024.6962646892707
2021,NEW JERSEY,6564437723,New Jersey,9234024,710.8967577948682
2021,NEW MEXICO,1728101662,New Mexico,2109366,819.2516907923992
2021,NEW YORK,27082346743,New York,20114745,1346.3927453716167
2021,NORTH CAROLINA,3791692597,North Carolina,10367022,365.74559183919934
2021,NORTH DAKOTA,308408825,North Dakota,773344,398.79901441014607
2021,NORTHERN MARIANA ISLANDS,10782650,Northern Mariana Islands,NA,NA
2021,OHIO,5404639300,Ohio,11769923,459.19071008365984
2021,OKLAHOMA,2975092080,Oklahoma,3948136,753.5434645615045
2021,OREGON,816986889,Oregon,4207177,194.18885609043784
2021,PALAU,3986266,Palau,NA,NA
2021,PENNSYLVANIA,12965981167,Pennsylvania,12970650,999.6400463353802
2021,PUERTO RICO,465704032,Puerto Rico,3311274,140.64194989602188
2021,RHODE ISLAND,757312302,Rhode Island,1091949,693.5418247555517
2021,SOUTH CAROLINA,2824705928,South Carolina,5078903,556.1645749091881
2021,SOUTH DAKOTA,262298878,South Dakota,881785,297.4635290915586
2021,TENNESSEE,2084006865,Tennessee,6859497,303.81336488666733
2021,TEXAS,36356006897,Texas,28862581,1259.6242483303902
2021,UTAH,3072022839,Utah,3231370,950.6874294803752
2021,VERMONT,299575615,Vermont,641637,466.89267451845825
2021,VIRGIN ISLANDS,5544482,Virgin Islands,NA,NA
2021,VIRGIN ISLANDS OF THE U.S.,538005,Virgin Islands Of The U.s.,NA,NA
2021,VIRGINIA,39141212703,Virginia,8582479,4560.595219982478
2021,WASHINGTON,10277692567,Washington,7617364,1349.245298898674
2021,WEST VIRGINIA,299103300,West Virginia,1801049,166.07171709376036
2021,WISCONSIN,4166819775,Wisconsin,5871661,709.6492415008291
2021,WYOMING,118952476,Wyoming,576641,206.2851514200343
2021,NA,19636852736,NA,NA,NA
2022,ALABAMA,9954442370,Alabama,5028092,1979.7653602996922
2022,ALASKA,2137358617,Alaska,734821,2908.6792797157404
2022,AMERICAN SAMOA,336191,American Samoa,NA,NA
2022,ARIZONA,12804034085,Arizona,7172282,1785.2106324040242
2022,ARKANSAS,749292789,Arkansas,3018669,248.21959247602172
2022,CALIFORNIA,37717603932,California,39356104,958.3673204034627
2022,COLORADO,8746432894,Colorado,5770790,1515.6387416627533
2022,CONNECTICUT,21828842177,Connecticut,3611317,6044.5655080958
2022,DELAWARE,160731450,Delaware,993635,161.76105914143523
2022,DISTRICT OF COLUMBIA,6566661996,District Of Columbia,NA,NA
2022,FEDERATED STATES OF MICRONESIA,829448,Federated States Of Micronesia,NA,NA
2022,FLORIDA,21052397067,Florida,21634529,973.0924609914086
2022,GEORGIA,6117491662,Georgia,10722325,570.5377949278725
2022,GUAM,1776491531,Guam,NA,NA
2022,HAWAII,3033376716,Hawaii,1450589,2091.1345088098697
2022,IDAHO,298437360,Idaho,1854109,160.95998671059792
2022,ILLINOIS,7991271302,Illinois,12757634,626.3913278904223
2022,INDIANA,7229928872,Indiana,6784403,1065.6691343365069
2022,IOWA,2004324372,Iowa,3188836,628.5441998271469
2022,KANSAS,1560359919,Kansas,2935922,531.4718575629734
2022,KENTUCKY,11018192522,Kentucky,4502935,2446.891310223221
2022,LOUISIANA,2207139338,Louisiana,4640546,475.6206140398134
2022,MAINE,2627271293,Maine,1366949,1921.996572659258
2022,MARSHALL ISLANDS,227038688,Marshall Islands,NA,NA
2022,MARYLAND,16652053193,Maryland,6161707,2702.5064958460375
2022,MASSACHUSETTS,14170449192,Massachusetts,6984205,2028.9280157154608
2022,MICHIGAN,7507954260,Michigan,10057921,746.4717867638849
2022,MICRONESIA,5857813,Micronesia,NA,NA
2022,MINNESOTA,1307298436,Minnesota,5695292,229.54019495400763
2022,MISSISSIPPI,4196102176,Mississippi,2958846,1418.1549752842832
2022,MISSOURI,7536366966,Missouri,6154422,1224.545045172398
2022,MONTANA,236729450,Montana,1091840,216.8169786781946
2022,NEBRASKA,782449370,Nebraska,1958939,399.4250816385809
2022,NEVADA,1667763612,Nevada,3104817,537.1535945596794
2022,NEW HAMPSHIRE,1421355082,New Hampshire,1379610,1030.258610766811
2022,NEW JERSEY,7376568799,New Jersey,9249063,797.547686614309
2022,NEW MEXICO,1640662925,New Mexico,2112463,776.658774615224
2022,NEW YORK,25465899824,New York,19994379,1273.6529513619803
2022,NORTH CAROLINA,5510989124,North Carolina,10470214,526.3492345046625
2022,NORTH DAKOTA,493391038,North Dakota,776874,635.097889747887
2022,NORTHERN MARIANA ISLANDS,55785177,Northern Mariana Islands,NA,NA
2022,OHIO,5010893048,Ohio,11774683,425.5650065483716
2022,OKLAHOMA,3716928802,Oklahoma,3970497,936.1369123311263
2022,OREGON,939919972,Oregon,4229374,222.23619192816716
2022,PALAU,33872192,Palau,NA,NA
2022,PENNSYLVANIA,14855479998,Pennsylvania,12989208,1143.6786598536262
2022,PUERTO RICO,830388965,Puerto Rico,3272382,253.75673286309484
2022,RHODE ISLAND,720158291,Rhode Island,1094250,658.1295782499429
2022,SOUTH CAROLINA,2995422348,South Carolina,5142750,582.4553688201837
2022,SOUTH DAKOTA,698489242,South Dakota,890342,784.517906602182
2022,TENNESSEE,2026681484,Tennessee,6923772,292.7134925875664
2022,TEXAS,47421436113,Texas,29243342,1621.6147974126898
2022,UTAH,4194845823,Utah,3283809,1277.432951490175
2022,VERMONT,381917508,Vermont,643816,593.2090970090834
