State,Electoral Votes,Results 2020,Results 2024
Alabama,9,Republican,Republican
Alaska,3,Republican,Republican
Arizona,11,Democratic,Republican
Arkansas,6,Republican,Republican
California,54,Democratic,Democratic
Colorado,10,Democratic,Democratic
Connecticut,7,Democratic,Democratic
Delaware,3,Democratic,Democratic
Florida,30,Republican,Republican
Georgia,16,Democratic,Republican
Hawaii,4,Democratic,Democratic
Idaho,4,Republican,Republican
Illinois,19,Democratic,Democratic
Indiana,11,Republican,Republican
Iowa,6,Republican,Republican
Kansas,6,Republican,Republican
Kentucky,8,Republican,Republican
Louisiana,8,Republican,Republican
Maine,4,Democratic,Democratic
Maryland,10,Democratic,Democratic
Massachusetts,11,Democratic,Democratic
Michigan,15,Democratic,Republican
Minnesota,10,Democratic,Democratic
Mississippi,6,Republican,Republican
Missouri,10,Republican,Republican
Montana,4,Republican,Republican
Nebraska,5,Republican,Republican
Nevada,6,Democratic,Republican
New Hampshire,4,Democratic,Democratic
New Jersey,14,Democratic,Democratic
New Mexico,5,Democratic,Democratic
New York,28,Democratic,Democratic
North Carolina,16,Republican,Republican
North Dakota,3,Republican,Republican
Ohio,17,Republican,Republican
Oklahoma,7,Republican,Republican
Oregon,8,Democratic,Democratic
Pennsylvania,19,Democratic,Republican
Rhode Island,4,Democratic,Democratic
South Carolina,9,Republican,Republican
South Dakota,3,Republican,Republican
Tennessee,11,Republican,Republican
Texas,40,Republican,Republican
Utah,6,Republican,Republican
Vermont,3,Democratic,Democratic
Virginia,13,Democratic,Democratic
Washington,12,Democratic,Democratic
West Virginia,4,Republican,Republican
Wisconsin,10,Democratic,Republican
Wyoming,3,Republican,Republican
