County,State,Total defense spending in (billions)
TARRANT,TEXAS,$121.53B
NO COUNTY LISTED,NA,$120.40B
FAIRFAX,VIRGINIA,$83.55B
SAN DIEGO,CALIFORNIA,$55.41B
NEW LONDON,CONNECTICUT,$50.51B
DALLAS,TEXAS,$48.85B
LOS ANGELES,CALIFORNIA,$46.75B
SAINT LOUIS,MISSOURI,$45.92B
MIDDLESEX,MASSACHUSETTS,$45.26B
PIMA,ARIZONA,$45.24B
JEFFERSON,KENTUCKY,$40.64B
MADISON,ALABAMA,$37.77B
NEW YORK,NEW YORK,$34.87B
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,$32.82B
HARTFORD,CONNECTICUT,$31.93B
ORANGE,FLORIDA,$30.86B
KING,WASHINGTON,$27.75B
FAIRFIELD,CONNECTICUT,$23.72B
VIRGINIA BEACH CITY,VIRGINIA,$22.92B
BEXAR,TEXAS,$22.86B
MARICOPA,ARIZONA,$22.46B
BREVARD,FLORIDA,$22.02B
ANNE ARUNDEL,MARYLAND,$21.25B
ARLINGTON,VIRGINIA,$21.00B
ESSEX,MASSACHUSETTS,$20.71B
NEWPORT NEWS CITY,VIRGINIA,$19.56B
ALLEGHENY,PENNSYLVANIA,$19.25B
SACRAMENTO,CALIFORNIA,$19.25B
JACKSON,MISSISSIPPI,$18.56B
MACOMB,MICHIGAN,$16.64B
SANTA CLARA,CALIFORNIA,$16.52B
MONTGOMERY,PENNSYLVANIA,$15.57B
NORFOLK CITY,VIRGINIA,$15.04B
COOK,ILLINOIS,$15.04B
HONOLULU,HAWAII,$14.71B
SAINT MARYS,MARYLAND,$14.57B
MONTGOMERY,MARYLAND,$14.19B
EL PASO,COLORADO,$14.02B
HARRIS,TEXAS,$13.62B
BURLINGTON,NEW JERSEY,$12.45B
MARION,INDIANA,$12.36B
COBB,GEORGIA,$12.27B
OKLAHOMA,OKLAHOMA,$12.24B
PRINCE WILLIAM,VIRGINIA,$11.06B
ORANGE,CALIFORNIA,$10.31B
HILLSBOROUGH,FLORIDA,$9.99B
GUAM,GUAM,$9.89B
WEBER,UTAH,$9.87B
DOUGLAS,COLORADO,$9.84B
ARAPAHOE,COLORADO,$9.55B
WINNEBAGO,WISCONSIN,$9.39B
YORK,PENNSYLVANIA,$9.35B
DUVAL,FLORIDA,$9.12B
HOWARD,MARYLAND,$8.88B
MONROE,NEW YORK,$8.71B
HARFORD,MARYLAND,$8.34B
SAGADAHOC,MAINE,$8.20B
ONONDAGA,NEW YORK,$7.96B
OKALOOSA,FLORIDA,$7.94B
LINN,IOWA,$7.74B
HUNT,TEXAS,$7.53B
TIOGA,NEW YORK,$7.44B
POTTER,TEXAS,$7.40B
HAMILTON,OHIO,$6.78B
BALTIMORE,MARYLAND,$6.75B
GREENE,OHIO,$6.69B
ALEXANDRIA CITY,VIRGINIA,$6.64B
LOUDOUN,VIRGINIA,$6.62B
KERN,CALIFORNIA,$6.26B
CHARLESTON,SOUTH CAROLINA,$5.96B
WESTCHESTER,NEW YORK,$5.95B
COLLIN,TEXAS,$5.92B
HILLSBOROUGH,NEW HAMPSHIRE,$5.90B
DELAWARE,PENNSYLVANIA,$5.82B
BAY,FLORIDA,$5.72B
ONSLOW,NORTH CAROLINA,$5.68B
VENTURA,CALIFORNIA,$5.61B
PRINCE GEORGES,MARYLAND,$5.54B
DAVIS,UTAH,$5.37B
DUPAGE,ILLINOIS,$5.24B
CUMBERLAND,NORTH CAROLINA,$5.21B
ANCHORAGE,ALASKA,$5.11B
SAINT CLAIR,ILLINOIS,$4.71B
SUFFOLK,MASSACHUSETTS,$4.69B
