last_name,first_name,middle_name,suffix,nickname,full_name,name_comma,party,birthday,gender,type,state,district,senate_class,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Adams,Alma,S.,,,Alma S. Adams,"Adams, Alma S.",Democrat,1946-05-27,F,rep,NC,12,,https://adams.house.gov,2436 Rayburn House Office Building Washington DC 20515-3312,202-225-1510,,,RepAdams,2916086925,CongresswomanAdams,,UCPI9ao1Cr1nxEUD2r-usRjQ,@RepAdams@mastodon.social,A000370,2201,N00035451,,H4NC12100,76386,412607,5935,Alma Adams,,21545,Alma Adams
Aderholt,Robert,B.,,,Robert B. Aderholt,"Aderholt, Robert B.",Republican,1965-07-22,M,rep,AL,4,,https://aderholt.house.gov,272 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,76452765,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,,A000055,1460,N00003028,,H6AL04098,45516,400004,441,Robert B. Aderholt,,29701,Robert Aderholt
Aguilar,Pete,,,,Pete Aguilar,"Aguilar, Pete",Democrat,1979-06-19,M,rep,CA,33,,https://aguilar.house.gov,108 Cannon House Office Building Washington DC 20515-0533,202-225-3201,,,RepPeteAguilar,3018670151,reppeteaguilar,,UCxwbFLOlKDsXrwizV5jah7g,,A000371,2229,N00033997,,H2CA31125,79994,412615,70114,Pete Aguilar,,21506,Pete Aguilar
Alford,Mark,Allen,,,Mark Alford,"Alford, Mark Allen",Republican,1963-10-04,M,rep,MO,4,,https://alford.house.gov,328 Cannon House Office Building Washington DC 20515-2504,202-225-2876,,,RepMarkAlford,,100089595940547,@RepAlford,,,A000379,,N00049617,,H2MO04207,,456909,205858,Mark Alford,,,Mark Alford
Allen,Rick,W.,,,Rick W. Allen,"Allen, Rick W.",Republican,1951-11-07,M,rep,GA,12,,https://allen.house.gov,462 Cannon House Office Building Washington DC 20515-1012,202-225-2823,,,RepRickAllen,2964287128,CongressmanRickAllen,,UCZPoYXHFDAV17BGLMzGAmpg,,A000372,2239,N00033720,,H2GA12121,62545,412625,136062,Rick Allen,,21516,Rick Allen (politician)
Alsobrooks,Angela,Deneece,,,Angela D. Alsobrooks,"Alsobrooks, Angela Deneece",Democrat,1971-02-23,F,sen,MD,,1,https://www.alsobrooks.senate.gov,374 Russell Senate Office Building Washington DC 20510,202-224-4524,https://alsobrooks.senate.gov/,,,,SenatorAlsobrooks,,,,A000382,,N00053033,S428,S4MD00327,,456965,212637,Angela Alsobrooks,,,Angela Alsobrooks
Amo,Gabe,,,,Gabe Amo,"Amo, Gabe",Democrat,1987-12-11,M,rep,RI,1,,https://amo.house.gov,1119 Longworth House Office Building Washington DC 20515-3901,202-225-4911,,,RepGabeAmo,,61553581414066,,,,A000380,,N00052615,,H4RI01265,,456955,212295,Gabe Amo,,,Gabe Amo
Amodei,Mark,E.,,,Mark E. Amodei,"Amodei, Mark E.",Republican,1958-06-12,M,rep,NV,2,,https://amodei.house.gov,104 Cannon House Office Building Washington DC 20515-2802,202-225-6155,,http://amodei.house.gov/common/rss//?rss=49,MarkAmodeiNV2,402719755,MarkAmodeiNV2,markamodeinv2,UCjOGx2iqSn1r3BQxaVgYhYw,,A000369,2090,N00031177,,"H2NV02395,H1NV02017,S0NV00237",62817,412500,12537,Mark Amodei,,21196,Mark Amodei
Ansari,Yassamin,,,,Yassamin Ansari,"Ansari, Yassamin",Democrat,1992-04-07,F,rep,AZ,3,,https://ansari.house.gov,1432 Longworth House Office Building Washington DC 20515-0303,202-225-4065,,,RepYassAnsari,,RepYassAnsari,,,,A000381,,N00052497,,H4AZ03109,,456972,201437,Yassamin Ansari,,,Yassamin Ansari
Armstrong,Alan,,,,Alan Armstrong,"Armstrong, Alan",Republican,1962-07-11,M,sen,OK,,2,https://www.armstrong.senate.gov,G12 Dirksen Senate Office Building Washington DC 20510,202-224-4721,,,,,,,,,A000383,,,S440,,,457040,237497,Alan Armstrong,,,Alan S. Armstrong
Arrington,Jodey,C.,,,Jodey C. Arrington,"Arrington, Jodey C.",Republican,1972-03-09,M,rep,TX,19,,https://arrington.house.gov,1111 Longworth House Office Building Washington DC 20515-4319,202-225-4005,,,RepArrington,816284664658874368,JodeyArrington,UC3lif8TFPOe-tJ2-pE4Rp7Q,,,A000375,,N00038285,,H6TX19099,1016482,412726,155685,Jodey Arrington,,21700,Jodey Arrington
Auchincloss,Jake,Daniel,,,Jake Auchincloss,"Auchincloss, Jake Daniel",Democrat,1988-01-29,M,rep,MA,4,,https://auchincloss.house.gov,1524 Longworth House Office Building Washington DC 20515-2104,202-225-5931,,,RepAuchincloss,1330278736554582016,RepAuchincloss,RepAuchincloss,,,A000148,,N00045506,,H0MA04192,,456825,173832,Jake Auchincloss,,,Jake Auchincloss
Babin,Brian,,,,Brian Babin,"Babin, Brian",Republican,1948-03-23,M,rep,TX,36,,https://babin.house.gov,2236 Rayburn House Office Building Washington DC 20515-4336,202-225-1555,,,RepBrianBabin,2929491549,RepBrianBabin,,UCPVEZgw-VbDRbLV1MRGVQNQ,,B001291,2270,N00005736,,H6TX02079,44883,412655,360,Brian Babin,,21551,Brian Babin
Bacon,Don,,,,Don Bacon,"Bacon, Don",Republican,1963-08-16,M,rep,NE,2,,https://bacon.house.gov,2104 Rayburn House Office Building Washington DC 20515-2702,202-225-4155,,,RepDonBacon,818975124460335106,RepDonBacon,,UCR9abI1lZzAZ6HwQXc-dLFQ,,B001298,,N00037049,,H6NE02125,103442,412713,166299,Don Bacon,,21701,Don Bacon
