state,ihp_total
Florida,4291490309.23
Texas,3563612473.6099997
Louisiana,2529505940.66
PR,2078878130.39
North Carolina,775097583.1500001
Michigan,672206307.02
Illinois,604919175.72
South Carolina,490787727.99
California,470145751.43000007
Georgia,445957654.63
Kentucky,261809412.85
New Jersey,255476134.7
New York,225825508.18
Wisconsin,176767651.07000002
Mississippi,155315349.29
Missouri,147147659.21
Alabama,143169051.51
Pennsylvania,136471851.16
West Virginia,117053897.03
Iowa,100749464.28999999
Hawaii,87298754.99000001
VI,84938570
Tennessee,74266640.32000001
GU,71255741.47
Oklahoma,68297986.38
MP,68180142.36
Arkansas,59601124.43
New Mexico,46693205.25
Alaska,45612154.75
Vermont,41717773.54
Oregon,41269961.14
Virginia,29029141.740000002
Nebraska,28281632.19
Connecticut,23937017.96
Rhode Island,22739438.02
AS,20543787.44
Minnesota,19503276.88
South Dakota,18720785.79
Montana,13678221.13
Maine,12109614.55
Washington,11861897.280000001
Ohio,8826376.17
Massachusetts,7670256.32
Indiana,6519004.07
Colorado,2134406.55
Arizona,1895456.47
Wyoming,1293347.34
Utah,1089134.7
Delaware,0
District of Columbia,0
Idaho,0
Kansas,0
Maryland,0
Nevada,0
New Hampshire,0
North Dakota,0
