state,pa_total
PR,37412485978.57
VI,21998744840.149998
Florida,10450577960.66
Louisiana,7480641897.3
California,6359727031.750001
Texas,3948701819.33
North Carolina,2265107883.19
New York,1652006499.0099998
Georgia,1395622108.22
Kentucky,1067867210.04
Hawaii,883401771.9599998
Tennessee,850005394.4500003
Oregon,725984262.9100001
Oklahoma,714059161.38
South Carolina,675833077.3800001
Nebraska,658538065.4199998
West Virginia,629345175.4599999
Alabama,548110989.3
New Jersey,530965693.72
Iowa,509019473.78999996
Mississippi,425426576.21999997
Missouri,420574108.63000005
Virginia,382940178.13
Alaska,375399286.96000004
Washington,347281048.40999997
New Mexico,324525246.63
MP,323564472.61999995
Vermont,318617472.05
Pennsylvania,263221492.39
Arkansas,256629874.74999997
Kansas,207218137.6
Minnesota,205359452.73999998
Massachusetts,182423916.1
South Dakota,164223997.67
North Dakota,138100971.67000002
Ohio,136600001.81
Colorado,131102271.12
Maine,129296819.2
Maryland,116570983.1
Michigan,104731887.55
Wisconsin,101014217.22
Connecticut,96111324.89
Illinois,91490388.33
New Hampshire,71052067.28
Montana,67322321.35000001
Idaho,65214313.89
GU,57242844.410000004
Utah,53290468.9
Nevada,31286061
Indiana,27376881.5
Rhode Island,22059547.729999997
District of Columbia,16996776.09
Arizona,12600927.9
AS,12090910.93
Wyoming,11303619.249999998
Delaware,10602577.98
